Sample _ID	NGS_ID	Manuscript_ID
1284	m3n702-s518	1
1289	m3n702-s520	2
1290	m3n702-s521	3
1292	m3n703-s520	4
1294	m3n703-s521	5
1296	m3n703-s522	6
1299	m3n704-s513	7
1303	m3n704-s515	8
1304	m3n704-s516	9
1306	m3n704-s517	10
1310	m3n704-s518	11
1314	m3n702-s522	12
1316	m3n703-s513	13
1318	m3n704-s520	14
1320	m3n704-s521	15
1322	m3n704-s522	16
1324	m3n705-s513	17
1326	m3n705-s515	18
1328	m3n705-s516	19
1334	m3n703-s515	20
1336	m3n705-s517	21
1338	m3n703-s516	22
1340	m3n703-s517	23
1342	m3n705-s518	24
1346	m3n705-s520	25
1348	m3n705-s521	26
1350	m3n705-s522	27
1356	m3n706-s513	28
1358	m3n706-s515	29